Date,Germany: Stock Market,Germany: Currency,Germany: Interest Rate,BGF US Growth A2 {USD},prediction
,7612.39,1.3184,0.75,9.83,
,7778.78,1.3239,0.75,10.21,
,7756.44,1.3095,0.75,10.24,
,7776.37,1.3045,0.75,10.22,
,7732.66,1.3099,0.75,10.22,
,7732.66,1.3099,0.75,10.22,
,7732.66,1.3099,0.75,10.2,
,7695.83,1.3066,0.75,10.19,
,7720.47,1.3043,0.75,10.25,
,7708.47,1.3213,0.75,10.29,
,7715.53,1.3345,0.75,10.29,
,7729.52,1.3366,0.75,10.29,
,7729.52,1.3366,0.75,10.29,
,7729.52,1.3366,0.75,10.28,
,7675.91,1.3348,0.75,10.22,
,7691.13,1.3296,0.75,10.23,
,7735.46,1.3358,0.75,10.28,
,7702.23,1.3291,0.75,10.28,
,7748.86,1.3315,0.75,10.28,
,7748.86,1.3315,0.75,10.28,
,7748.86,1.3315,0.75,10.28,
,7696.21,1.3286,0.75,10.26,
,7707.54,1.3281,0.75,10.32,
,7748.13,1.3374,0.75,10.36,
,7857.97,1.3475,0.75,10.42,
,7833.0,1.3461,0.75,10.42,
,7833.0,1.3461,0.75,10.42,
,7833.0,1.3461,0.75,10.44,
,7848.57,1.3478,0.75,10.34,
,7811.31,1.3569,0.75,10.38,
,7776.05,1.3574,0.75,10.39,
,7833.39,1.3696,0.75,10.4,
,7638.23,1.3558,0.75,10.4,
,7638.23,1.3558,0.75,10.4,
,7638.23,1.3558,0.75,10.41,
,7664.66,1.3528,0.75,10.35,
,7581.18,1.3538,0.75,10.41,
,7590.85,1.3389,0.75,10.34,
,7652.14,1.338,0.75,10.41,
,7633.74,1.3379,0.75,10.41,
,7633.74,1.3379,0.75,10.41,
,7633.74,1.3379,0.75,10.35,
,7660.19,1.3464,0.75,10.36,
,7711.89,1.3436,0.75,10.4,
,7631.19,1.3341,0.75,10.35,
,7593.51,1.335,0.75,10.41,
,7628.73,1.3351,0.75,10.41,
,7628.73,1.3351,0.75,10.41,
,7628.73,1.3351,0.75,10.39,
,7752.45,1.3356,0.75,10.44,
,7728.9,1.337,0.75,10.44,
,7583.57,1.3222,0.75,10.21,
,7661.91,1.3162,0.75,10.26,
,7773.19,1.3214,0.75,10.26,
,7773.19,1.3214,0.75,10.26,
,7773.19,1.3214,0.75,10.37,
,7597.11,1.3073,0.75,10.15,
,7675.83,1.3109,0.75,10.21,
,7741.7,1.3073,0.75,10.34,
,7708.16,1.2984,0.75,10.28,
,7691.68,1.3009,0.75,10.28,10.451272
,7691.68,1.3009,0.75,10.28,10.260197
,7691.68,1.3009,0.75,10.39,10.301148
,7870.31,1.3026,0.75,10.55,10.275266
,7919.33,1.3,0.75,10.59,10.415257
,7939.77,1.3082,0.75,10.55,10.429147
,7986.47,1.2981,0.75,10.55,10.399125
,7984.29,1.3014,0.75,10.55,10.43321
,7984.29,1.3014,0.75,10.55,10.411684
,7984.29,1.3014,0.75,10.58,10.415228
,7966.12,1.3021,0.75,10.57,10.429008
,7970.91,1.2949,0.75,10.54,10.414819
,8058.37,1.298,0.75,10.58,10.412812
