,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
4416,2008-01-01,2139.45,5904.22,18.72,96.26,1123.15,151.12,11.33,90.85,189.71,17.75,17.78,19.88,16.22
4417,2008-01-02,2122.32,5909.2,18.65,96.26,1123.15,151.12,11.3,90.85,189.71,17.75,17.78,19.88,16.22
4418,2008-01-03,2094.22,5768.41,18.27,96.26,1123.15,151.12,11.14,90.85,189.71,17.75,17.78,19.88,16.22
4419,2008-01-04,2031.41,5667.54,17.85,96.26,1123.15,151.12,10.98,90.85,189.71,17.75,17.78,19.88,16.22
4420,2008-01-05,2031.41,5667.54,17.85,96.26,1123.15,151.12,10.98,90.85,189.71,17.75,17.78,19.88,16.22
4421,2008-01-06,2031.41,5667.54,17.85,96.26,1123.15,151.12,10.98,90.85,189.71,17.75,17.78,19.88,16.22
4422,2008-01-07,2008.36,5635.51,17.63,96.26,1123.15,151.12,10.83,90.85,189.71,17.75,17.78,19.88,16.22
4423,2008-01-08,2033.07,5645.59,17.8,96.26,1123.15,151.12,10.79,90.85,189.71,17.75,17.78,19.88,16.22
4424,2008-01-09,1981.89,5545.18,17.32,96.26,1123.15,151.12,10.6,90.85,189.71,17.75,17.78,19.88,16.22
4425,2008-01-10,1939.67,5404.13,16.98,96.26,1123.15,151.12,10.59,90.85,189.71,17.75,17.78,19.88,16.22
4426,2008-01-11,1921.63,5376.76,16.94,96.26,1123.15,151.12,10.62,90.85,189.71,17.75,17.78,19.88,16.22
4427,2008-01-12,1921.63,5376.76,16.94,96.26,1123.15,151.12,10.62,90.85,189.71,17.75,17.78,19.88,16.22
4428,2008-01-13,1921.63,5376.76,16.94,96.26,1123.15,151.12,10.62,90.85,189.71,17.75,17.78,19.88,16.22
4429,2008-01-14,1951.93,5461.57,17.16,96.26,1123.15,151.12,10.6,90.85,189.71,17.75,17.78,19.88,16.22
4430,2008-01-15,1894.08,5309.98,16.6,96.26,1123.15,151.12,10.58,90.85,189.71,17.75,17.78,19.88,16.22
4431,2008-01-16,1883.53,5282.65,16.37,96.26,1123.15,151.12,10.32,90.85,189.71,17.75,17.78,19.88,16.22
4432,2008-01-17,1882.31,5275.96,16.4,96.26,1123.15,151.12,10.34,90.85,189.71,17.75,17.78,19.88,16.22
4433,2008-01-18,1865.38,5251.89,16.23,96.26,1123.15,151.12,10.08,90.85,189.71,17.75,17.78,19.88,16.22
4434,2008-01-19,1865.38,5251.89,16.23,96.26,1123.15,151.12,10.08,90.85,189.71,17.75,17.78,19.88,16.22
4435,2008-01-20,1865.38,5251.89,16.23,96.26,1123.15,151.12,10.08,90.85,189.71,17.75,17.78,19.88,16.22
4436,2008-01-21,1779.61,4972.29,15.38,96.26,1123.15,151.12,10.01,90.85,189.71,17.75,17.78,19.88,16.22
4437,2008-01-22,1834.96,5030.18,15.51,96.26,1123.15,151.12,9.65,90.85,189.71,17.75,17.78,19.88,16.22
4438,2008-01-23,1795.44,5036.29,15.45,96.26,1123.15,151.12,9.58,90.85,189.71,17.75,17.78,19.88,16.22
4439,2008-01-24,1875.39,5245.77,16.24,96.26,1123.15,151.12,10.01,90.85,189.71,17.75,17.78,19.88,16.22
4440,2008-01-25,1903.32,5314.62,16.69,96.26,1123.15,151.12,10.19,90.85,189.71,17.75,17.78,19.88,16.22
4441,2008-01-26,1903.32,5314.62,16.69,96.26,1123.15,151.12,10.19,90.85,189.71,17.75,17.78,19.88,16.22
4442,2008-01-27,1903.32,5314.62,16.69,96.26,1123.15,151.12,10.19,90.85,189.71,17.75,17.78,19.88,16.22
4443,2008-01-28,1877.24,5161.4,16.1,96.26,1123.15,151.12,9.92,90.85,189.71,17.75,17.78,19.88,16.22
4444,2008-01-29,1896.87,5212.22,16.39,96.26,1123.15,151.12,10.07,90.85,189.71,17.75,17.78,19.88,16.22
4445,2008-01-30,1898.74,5238.64,16.38,96.26,1123.15,151.12,10.09,90.85,189.71,17.75,17.78,19.88,16.22
4446,2008-01-31,1882.59,5155.07,16.03,96.26,1123.15,151.12,9.96,90.85,189.71,17.75,17.78,19.88,16.22
4447,2008-02-01,1932.89,5318.49,16.65,96.26,1123.15,151.12,10.27,90.85,189.71,17.75,17.78,19.88,16.22
4448,2008-02-02,1932.89,5318.49,16.65,96.26,1123.15,151.12,10.27,90.85,189.71,17.75,17.78,19.88,16.22
4449,2008-02-03,1932.89,5318.49,16.65,96.26,1123.15,151.12,10.27,90.85,189.71,17.75,17.78,19.88,16.22
4450,2008-02-04,1949.82,5390.73,16.82,96.26,1123.15,151.12,10.3,90.85,189.71,17.75,17.78,19.88,16.22
4451,2008-02-05,1890.05,5263.61,16.33,96.26,1123.15,151.12,10.12,90.85,189.71,17.75,17.78,19.88,16.22
4452,2008-02-06,1904.02,5228.49,16.21,96.26,1123.15,151.12,9.96,90.85,189.71,17.75,17.78,19.88,16.22
4453,2008-02-07,1862.54,5154.43,15.91,96.26,1123.15,151.12,9.66,90.85,189.71,17.75,17.78,19.88,16.22
4454,2008-02-08,1858.5,5139.69,15.85,96.26,1123.15,151.12,9.88,90.85,189.71,17.75,17.78,19.88,16.22
4455,2008-02-09,1858.5,5139.69,15.85,96.26,1123.15,151.12,9.88,90.85,189.71,17.75,17.78,19.88,16.22
4456,2008-02-10,1858.5,5139.69,15.85,96.26,1123.15,151.12,9.88,90.85,189.71,17.75,17.78,19.88,16.22
4457,2008-02-11,1848.85,5169.16,15.93,96.26,1123.15,151.12,9.87,90.85,189.71,17.75,17.78,19.88,16.22
4458,2008-02-12,1914.85,5285.6,16.39,96.26,1123.15,151.12,10.05,90.85,189.71,17.75,17.78,19.88,16.22
4459,2008-02-13,1923.96,5329.83,16.54,96.26,1123.15,151.12,10.07,90.85,189.71,17.75,17.78,19.88,16.22
4460,2008-02-14,1928.81,5376.23,16.82,96.26,1123.15,151.12,10.11,90.85,189.71,17.75,17.78,19.88,16.22
4461,2008-02-15,1899.2,5249.72,16.44,96.26,1123.15,151.12,9.93,90.85,189.71,17.75,17.78,19.88,16.22
4462,2008-02-16,1899.2,5249.72,16.44,96.26,1123.15,151.12,9.93,90.85,189.71,17.75,17.78,19.88,16.22
4463,2008-02-17,1899.2,5249.72,16.44,96.26,1123.15,151.12,9.93,90.85,189.71,17.75,17.78,19.88,16.22
4464,2008-02-18,1937.75,5345.39,16.7,96.26,1123.15,151.12,9.97,90.85,189.71,17.75,17.78,19.88,16.22
4465,2008-02-19,1944.19,5365.33,16.95,96.26,1123.15,151.12,10.09,90.85,189.71,17.75,17.78,19.88,16.22
4466,2008-02-20,1924.61,5333.6,16.62,96.26,1123.15,151.12,9.94,90.85,189.71,17.75,17.78,19.88,16.22
4467,2008-02-21,1937.76,5390.92,16.97,96.26,1123.15,151.12,10.16,90.85,189.71,17.75,17.78,19.88,16.22
4468,2008-02-22,1918.43,5344.06,16.74,96.26,1123.15,151.12,9.99,90.85,189.71,17.75,17.78,19.88,16.22
4469,2008-02-23,1918.43,5344.06,16.74,96.26,1123.15,151.12,9.99,90.85,189.71,17.75,17.78,19.88,16.22
4470,2008-02-24,1918.43,5344.06,16.74,96.26,1123.15,151.12,9.99,90.85,189.71,17.75,17.78,19.88,16.22
4471,2008-02-25,1945.8,5352.44,16.78,96.26,1123.15,151.12,10.0,90.85,189.71,17.75,17.78,19.88,16.22
4472,2008-02-26,1973.87,5420.27,16.97,96.26,1123.15,151.12,10.13,90.85,189.71,17.75,17.78,19.88,16.22
4473,2008-02-27,1974.31,5407.81,17.04,96.26,1123.15,151.12,10.2,90.85,189.71,17.75,17.78,19.88,16.22
4474,2008-02-28,1950.77,5405.99,17.1,96.26,1123.15,151.12,10.14,90.85,189.71,17.75,17.78,19.88,16.22
4475,2008-02-29,1934.8,5335.24,16.78,96.26,1123.15,151.12,9.95,90.85,189.71,17.75,17.78,19.88,16.22
4476,2008-03-01,1934.8,5335.24,16.78,96.26,1123.15,151.12,9.95,90.85,189.71,17.75,17.78,19.88,16.22
4477,2008-03-02,1934.8,5335.24,16.78,96.26,1123.15,151.12,9.95,90.85,189.71,17.75,17.78,19.88,16.22
4478,2008-03-03,1896.96,5232.58,16.51,96.26,1123.15,151.12,9.76,90.85,189.71,17.75,17.78,19.88,16.22
4479,2008-03-04,1861.09,5181.43,16.41,96.26,1123.15,151.12,9.77,90.85,189.71,17.75,17.78,19.88,16.22
4480,2008-03-05,1900.65,5249.06,16.57,96.26,1123.15,151.12,9.87,90.85,189.71,17.75,17.78,19.88,16.22
4481,2008-03-06,1881.58,5240.81,16.51,96.26,1123.15,151.12,9.82,90.85,189.71,17.75,17.78,19.88,16.22
4482,2008-03-07,1868.62,5172.22,16.14,96.26,1123.15,151.12,9.67,90.85,189.71,17.75,17.78,19.88,16.22
4483,2008-03-08,1868.62,5172.22,16.14,96.26,1123.15,151.12,9.67,90.85,189.71,17.75,17.78,19.88,16.22
4484,2008-03-09,1868.62,5172.22,16.14,96.26,1123.15,151.12,9.67,90.85,189.71,17.75,17.78,19.88,16.22
4485,2008-03-10,1830.25,5075.32,16.0,96.26,1123.15,151.12,9.55,90.85,189.71,17.75,17.78,19.88,16.22
4486,2008-03-11,1842.65,5119.97,16.17,96.26,1123.15,151.12,9.48,90.85,189.71,17.75,17.78,19.88,16.22
4487,2008-03-12,1872.5,5174.08,16.36,96.26,1123.15,151.12,9.56,90.85,189.71,17.75,17.78,19.88,16.22
4488,2008-03-13,1854.37,5076.25,15.97,96.26,1123.15,151.12,9.36,90.85,189.71,17.75,17.78,19.88,16.22
4489,2008-03-14,1846.94,5128.11,16.06,96.26,1123.15,151.12,9.47,90.85,189.71,17.75,17.78,19.88,16.22
4490,2008-03-15,1846.94,5128.11,16.06,96.26,1123.15,151.12,9.47,90.85,189.71,17.75,17.78,19.88,16.22
4491,2008-03-16,1846.94,5128.11,16.06,96.26,1123.15,151.12,9.47,90.85,189.71,17.75,17.78,19.88,16.22
4492,2008-03-17,1785.95,5016.11,15.61,96.26,1123.15,151.12,9.32,90.85,189.71,17.75,17.78,19.88,16.22
4493,2008-03-18,1838.58,5094.66,15.76,96.26,1123.15,151.12,9.42,90.85,189.71,17.75,17.78,19.88,16.22
4494,2008-03-19,1811.76,5024.18,15.65,96.26,1123.15,151.12,9.58,90.85,189.71,17.75,17.78,19.88,16.22
4495,2008-03-20,1811.76,5024.18,15.49,96.26,1123.15,151.12,9.39,90.85,189.71,17.75,17.78,19.88,16.22
4496,2008-03-21,1811.76,5024.18,15.49,96.26,1123.15,151.12,9.39,90.85,189.71,17.75,17.78,19.88,16.22
4497,2008-03-22,1811.76,5024.18,15.49,96.26,1123.15,151.12,9.39,90.85,189.71,17.75,17.78,19.88,16.22
4498,2008-03-23,1811.76,5024.18,15.49,96.26,1123.15,151.12,9.39,90.85,189.71,17.75,17.78,19.88,16.22
4499,2008-03-24,1811.76,5024.18,15.49,96.26,1123.15,151.12,9.39,90.85,189.71,17.75,17.78,19.88,16.22
4500,2008-03-25,1868.35,5091.88,15.86,96.26,1123.15,151.12,9.67,90.85,189.71,17.75,17.78,19.88,16.22
4501,2008-03-26,1858.11,5097.29,16.01,96.26,1123.15,151.12,9.62,90.85,189.71,17.75,17.78,19.88,16.22
4502,2008-03-27,1887.38,5155.83,16.18,96.26,1123.15,151.12,9.57,90.85,189.71,17.75,17.78,19.88,16.22
4503,2008-03-28,1896.36,5182.74,16.28,96.26,1123.15,151.12,9.52,90.85,189.71,17.75,17.78,19.88,16.22
4504,2008-03-29,1896.36,5182.74,16.28,96.26,1123.15,151.12,9.52,90.85,189.71,17.75,17.78,19.88,16.22
4505,2008-03-30,1896.36,5182.74,16.28,96.26,1123.15,151.12,9.52,90.85,189.71,17.75,17.78,19.88,16.22
4506,2008-03-31,1898.24,5210.67,16.25,96.26,1123.15,151.12,9.46,90.85,189.71,17.75,17.78,19.88,16.22
4507,2008-04-01,1965.81,5331.84,16.67,96.26,1123.15,151.12,9.57,90.85,189.71,17.75,17.78,19.88,16.22
4508,2008-04-02,1972.33,5328.13,16.93,96.26,1123.15,151.12,9.75,90.85,189.71,17.75,17.78,19.88,16.22
4509,2008-04-03,1942.01,5301.34,16.8,96.26,1123.15,151.12,9.74,90.85,189.71,17.75,17.78,19.88,16.22
4510,2008-04-04,1933.43,5323.95,16.83,96.26,1123.15,151.12,9.81,90.85,189.71,17.75,17.78,19.88,16.22
4511,2008-04-05,1933.43,5323.95,16.83,96.26,1123.15,151.12,9.81,90.85,189.71,17.75,17.78,19.88,16.22
4512,2008-04-06,1933.43,5323.95,16.83,96.26,1123.15,151.12,9.81,90.85,189.71,17.75,17.78,19.88,16.22
4513,2008-04-07,1962.75,5374.93,17.09,96.26,1123.15,151.12,9.9,90.85,189.71,17.75,17.78,19.88,16.22
4514,2008-04-08,1936.0,5303.78,16.81,96.26,1123.15,151.12,9.78,90.85,189.71,17.75,17.78,19.88,16.22
4515,2008-04-09,1926.88,5297.27,16.87,96.26,1123.15,151.12,9.76,90.85,189.71,17.75,17.78,19.88,16.22
4516,2008-04-10,1921.12,5224.15,16.64,96.26,1123.15,151.12,9.73,90.85,189.71,17.75,17.78,19.88,16.22
4517,2008-04-11,1898.5,5219.92,16.59,96.26,1123.15,151.12,9.72,90.85,189.71,17.75,17.78,19.88,16.22
4518,2008-04-12,1898.5,5219.92,16.59,96.26,1123.15,151.12,9.72,90.85,189.71,17.75,17.78,19.88,16.22
4519,2008-04-13,1898.5,5219.92,16.59,96.26,1123.15,151.12,9.72,90.85,189.71,17.75,17.78,19.88,16.22
4520,2008-04-14,1877.93,5183.5,16.42,96.26,1123.15,151.12,9.63,90.85,189.71,17.75,17.78,19.88,16.22
4521,2008-04-15,1878.59,5247.02,16.61,96.26,1123.15,151.12,9.61,90.85,189.71,17.75,17.78,19.88,16.22
